budget,id,original_language,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
12000000,62204,xx,6.537986,1981-12-15,55260558,100.0,Released,,Quest for Fire,7.1,109
30000000,7512,en,27.940093,2006-09-01,495303,84.0,Released,"In the future, intelligence is extinct.",Idiocracy,6.3,664
0,44594,en,1.975941,2010-03-13,0,95.0,Released,A comedy that hits you right where it counts.,Barry Munday,6.3,22
21000000,9053,en,12.790408,2006-09-07,480314,87.0,Released,"They're the ultimate fighters. They've got the looks. They've got the moves, and the men fall at their feet.",DOA: Dead or Alive,5.0,205
17000000,109428,en,33.912116,2013-04-05,97542952,91.0,Released,The most terrifying film you will ever experience.,Evil Dead,6.4,1723
7000000,34653,en,21.626288,2009-10-19,0,101.0,Released,,A Single Man,7.3,463
32000000,45612,en,59.19888,2011-03-30,147332697,93.0,Released,Make Every Second Count,Source Code,7.1,2699
1000000,26791,en,0.280083,2001-03-30,852206,119.0,Released,,Brigham City,7.3,4
0,25212,en,2.171288,2000-03-10,0,101.0,Released,,Deterrence,6.1,7
28000000,4348,en,36.58383,2005-09-16,121147947,135.0,Released,A romance ahead of its time.,Pride & Prejudice,7.7,1358
55000000,58224,en,32.835777,2011-06-17,187361754,94.0,Released,,Mr. Popper's Penguins,5.7,751
1800000,377,en,38.204158,1984-11-14,25504513,91.0,Released,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",A Nightmare on Elm Street,7.2,1180
20000000,81796,en,35.232278,2012-04-12,32204030,95.0,Released,Take no prisoners.,Lockout,5.8,715
0,15394,en,8.045488,2003-05-02,0,104.0,Released,To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything,Owning Mahowny,6.8,37
0,24747,en,2.897449,2004-04-30,0,120.0,Released,,Bobby Jones: Stroke of Genius,5.5,19
30000000,1262,en,32.26789,2006-09-09,53653224,113.0,Released,Harold Crick isn't ready to go. Period.,Stranger Than Fiction,7.1,721
0,26963,en,10.621353,2009-02-09,0,75.0,Released,Turn the darkness into light,The Secret of Kells,7.3,181
0,157354,en,20.967146,2013-07-25,17385830,85.0,Released,Every step brings you closer to the edge,Fruitvale Station,7.3,390
17000000,333348,en,9.191187,2015-11-12,24000000,107.0,Released,"Christmas means comfort, joy and chaos.",Love the Coopers,5.4,167
135000000,228161,en,63.473086,2015-03-18,368871007,94.0,Released,Worlds Collide,Home,6.8,1519
90000000,9822,en,6.643778,1998-12-25,0,114.0,Released,Survival is an instinct.,Mighty Joe Young,5.9,208
23000000,10663,en,23.839127,1998-11-06,185991646,90.0,Released,You can mess with him. But don't mess with his water.,The Waterboy,5.9,512
500000,84401,en,0.109579,2012-02-24,845188,93.0,Released,"Before there was Fiddler, there was Tevye... and the man who created him.",Sholem Aleichem: Laughing In The Darkness,7.0,2
0,181940,en,0.006069,2007-07-20,0,103.0,Released,,Carousel of Revenge,0.0,0
20000000,59860,en,17.237143,2011-07-01,17425000,109.0,Released,She's having the time of someone else's life.,Monte Carlo,6.0,593
6000000,13537,en,6.27257,2003-11-14,2944752,94.0,Released,,Shattered Glass,6.6,111
28000000,162903,en,20.267062,2013-10-11,8555008,128.0,Released,You can't expose the world's secrets without exposing yourself,The Fifth Estate,5.7,364
250000000,767,en,98.885637,2009-07-07,933959197,153.0,Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
21000000,31005,en,8.982335,2002-09-09,10011050,117.0,Released,,Moonlight Mile,6.5,52
50000000,274167,en,38.616744,2015-12-25,242786137,96.0,Released,Choose your Daddy,Daddy's Home,5.8,854
200000000,58,en,145.847379,2006-06-20,1065659812,151.0,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
10000000,55720,en,4.123533,2011-06-24,1759252,98.0,Released,Every father wants more for his son.,A Better Life,7.0,54
57000000,6073,en,21.021809,2001-03-01,147845033,123.0,Released,Love with the safety off.,The Mexican,5.8,441
27000000,9825,en,11.678561,1999-07-15,56870414,82.0,Released,You'll never know what bit you.,Lake Placid,5.5,247
20000000,16690,en,15.341196,2002-02-14,109862682,72.0,Released,The Classic Continues,Return to Never Land,6.1,290
30000000,76640,en,43.882857,2013-01-12,0,107.0,Released,Not in his town. Not on his watch.,The Last Stand,5.7,1266
20000000,840,en,52.456505,1977-11-16,303788635,135.0,Released,We are not alone.,Close Encounters of the Third Kind,7.2,1098
0,56930,en,0.042442,1947-12-27,0,128.0,Released,Breath-taking Adventure !,Tycoon,6.6,4
8000000,10873,en,5.93923,2000-05-15,8279017,92.0,Released,An Unspeakable Horror. A Creative Genius. Captured For Eternity.,Shadow of the Vampire,6.6,148
11000000,14877,en,3.646848,2007-05-17,0,110.0,Released,,September Dawn,5.0,16
14000000,859,en,14.480628,1988-12-16,34670720,119.0,Released,Lust. Seduction. Revenge. The Game As You've Never Seen It Played Before.,Dangerous Liaisons,7.0,257
250000,60420,en,21.825564,2011-10-28,3542353,90.0,Released,I Want You. I Need You. I Love You. I Miss You.,Like Crazy,6.4,381
7500000,7735,de,25.281197,2008-03-11,19000000,107.0,Released,Evil is something that you learn,The Wave,7.5,841
95000000,10501,en,37.054554,2000-03-31,76432727,89.0,Released,They came for the gold... they stayed for the adventure.,The Road to El Dorado,7.0,858
35000000,8090,en,12.677505,2008-01-22,32483410,101.0,Released,A cyber killer has finally found the perfect accomplice: You.,Untraceable,5.9,238
18000000,20483,en,4.492859,2004-02-06,16702864,92.0,Released,They're on a mission without permission.,Catch That Kid,4.9,76
15000000,253450,zh,8.142166,2015-08-27,632542,105.0,Released,,The Assassin,6.6,157
3000000,284,en,22.889294,1960-06-15,25000000,125.0,Released,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",The Apartment,8.1,483
16000000,218043,en,33.452469,2014-10-03,19682924,110.0,Released,The End Begins,Left Behind,3.7,392
35000000,257211,en,53.114573,2015-09-24,194564672,121.0,Released,Experience never gets old,The Intern,7.1,1881
20000000,10678,en,8.351385,2003-03-07,132675402,105.0,Released,"Everything he needed to know about life, she learned in prison.",Bringing Down the House,5.4,183
25000000,8988,en,4.002579,2008-03-28,11207130,113.0,Released,The bravest place to stand is by each other's side.,Stop-Loss,6.1,82
45000000,1577,en,29.880122,2004-09-10,129394835,94.0,Released,You're all going to die.,Resident Evil: Apocalypse,6.1,1267
85000000,76492,en,56.257411,2012-09-20,358375603,91.0,Released,Where monsters go to get away from it all,Hotel Transylvania,6.8,2566
13000000,3682,en,11.880899,1998-08-28,16757163,106.0,Released,You've never been anywhere until you've been here,54,5.5,135
0,13193,en,9.85123,2004-01-21,0,92.0,Released,,Saved!,6.3,147
30000000,124459,en,26.9385,2013-03-14,27437881,100.0,Released,Abracatastic!,The Incredible Burt Wonderstone,5.3,724
0,125123,en,0.541652,1998-06-24,0,93.0,Released,"a love story from the writer of ""The Full Monty"".",Among Giants,4.5,2
0,188652,en,0.209475,2013-04-26,0,106.0,Released,They Sing! They Dance! They're Juvenile Delinquents from Outer Space!,The Ghastly Love of Johnny X,6.6,8
12000000,31915,en,8.61659,1979-01-01,54000000,102.0,Released,,Prophecy,5.4,25
90000000,76285,en,40.262261,2013-08-07,174578751,106.0,Released,"Where There Are Gods, There Are Monsters.",Percy Jackson: Sea of Monsters,5.9,1648
110000000,163,en,76.840712,2004-12-09,362744280,125.0,Released,Twelve is the new eleven.,Ocean's Twelve,6.4,2124
74000000,211672,en,875.581305,2015-06-17,1156730962,91.0,Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4571
0,281189,en,0.033883,2003-11-05,0,0.0,Released,,Gory Gory Hallelujah,1.0,1
0,11190,ru,7.744166,2003-06-25,0,105.0,Released,,The Return,7.4,100
68000000,11371,en,22.572323,2001-07-13,71069884,124.0,Released,There are no partners in crime,The Score,6.7,423
75000000,37821,en,23.004607,2010-06-04,98159963,100.0,Released,Perfect wife. Perfect target.,Killers,5.7,772
48000000,9607,en,14.587367,1993-05-28,20915465,104.0,Released,This Ain't No Game.,Super Mario Bros.,4.0,232
18000000,245703,en,32.717853,2016-02-18,6212282,112.0,Released,He's not like us.,Midnight Special,6.2,694
149000000,11619,en,22.550135,2006-10-22,64459316,85.0,Released,Someone's Going Down,Flushed Away,6.0,874
34000000,228205,en,41.946523,2015-04-09,63013281,128.0,Released,Two couples. Two love stories. One epic tale.,The Longest Ride,7.3,1064
11000000,22804,en,31.900899,2009-10-22,68233629,90.0,Released,The Game Has Come Full Circle,Saw VI,6.0,722
4400000,362105,en,3.898737,2015-09-29,0,85.0,Released,,R.L. Stine's Monsterville: The Cabinet of Souls,6.9,35
7400000,62215,da,36.173598,2011-05-26,21817298,136.0,Released,Enjoy it while it lasts,Melancholia,7.0,885
4000000,20065,en,0.936232,2007-04-30,0,103.0,Released,A second chance for a first love.,Purple Violets,5.7,9
20000000,226857,en,27.256849,2014-02-12,34077920,103.0,Released,Say Goodbye to Innocence,Endless Love,6.7,542
31000000,296099,en,47.753598,2015-07-28,104384188,99.0,Released,What could go wrong?,Vacation,6.2,1195
11500000,1245,en,15.355589,1993-11-05,23237911,134.0,Released,Diamond in the Rough,The Remains of the Day,7.5,202
55000000,8195,en,32.657488,1998-09-25,41610884,122.0,Released,Your ally could become your enemy.,Ronin,6.7,658
0,17186,en,3.71305,2005-08-16,3102550,80.0,Released,,Supercross,5.4,29
1350000,100,en,16.032594,1998-03-05,3897569,105.0,Released,A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels",7.5,1648
4000000,5,en,22.87623,1995-12-09,4300000,98.0,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,530
25100000,10523,en,10.445391,2008-10-17,29506464,131.0,Released,A life misunderestimated.,W.,6.1,143
3500000,39303,en,1.271621,2009-04-25,0,96.0,Released,Killers Are Not Born ... They Are Made,2:13,4.6,10
25000000,11954,en,12.18362,1985-06-20,0,116.0,Released,"In the blink of an eye, the terror begins.",Lifeforce,6.2,135
0,22908,en,1.391958,1999-08-23,0,90.0,Released,,A Room for Romeo Brass,7.3,18
80000000,4858,en,15.673154,2007-08-17,15071514,99.0,Released,Do not trust anyone. Do not show emotion. Do not fall asleep.,The Invasion,5.7,359
0,22913,en,0.744406,1997-08-31,0,96.0,Released,,24 7: Twenty Four Seven,6.3,10
800000,60243,fa,12.049373,2011-03-15,0,123.0,Released,"Ugly truth, sweet lies.",A Separation,7.7,469
5000000,17339,en,5.348446,1978-11-01,7230000,118.0,Released,,Force 10 from Navarone,6.4,91
11000000,121826,en,7.722021,2012-09-08,59520298,98.0,Released,Four Friends Looking For A Little Harmony,Quartet,6.3,139
8000000,389425,en,2.101718,2016-05-06,0,106.0,Released,There is no honor in revenge.,Code of Honor,4.1,16
60000000,137094,en,42.538258,2014-01-15,50549107,105.0,Released,Trust no one.,Jack Ryan: Shadow Recruit,5.9,1173
13000000,107811,en,35.522027,2013-03-01,48065672,93.0,Released,Finally.,21 & Over,5.7,737
14000000,142,en,44.135568,2005-09-02,178043761,134.0,Released,Love is a force of nature.,Brokeback Mountain,7.5,1480
25000000,64639,en,7.473455,2011-09-16,10324441,110.0,Released,Everyone Has A Breaking Point,Straw Dogs,5.5,144
75000000,3172,en,24.353302,2001-10-12,67631903,123.0,Released,"Two's company, three's a crime.",Bandits,6.2,302
0,11546,en,11.946898,1994-06-09,126247,83.0,Released,"Just when we thought the Cold War was over, leave it to these guys to heat it up again.",Police Academy: Mission to Moscow,4.1,178
10000000,9289,en,19.524972,1962-09-25,50100000,178.0,Released,This is the day that changed the world... When history held its breath.,The Longest Day,7.2,234
27000000,865,en,30.131498,1987-11-13,38122105,101.0,Released,A game nobody survives. But Schwarzenegger has yet to play.,The Running Man,6.4,703
0,22617,en,1.096355,2000-09-01,0,99.0,Released,,Dinner Rush,7.1,19
12000000,26466,en,25.496926,2009-10-16,0,99.0,Released,A Passage to Hell,Triangle,6.9,612
5000000,13090,en,19.336367,2008-01-18,16174377,102.0,Released,life's a messy business.,Sunshine Cleaning,6.5,255
88000000,4442,en,40.138009,2005-08-26,105316267,118.0,Released,Eliminating Evil Since 1812.,The Brothers Grimm,5.6,818
8000000,13079,en,9.728143,2007-09-08,0,90.0,Released,Your life can change in an instant. That instant can last forever.,The Life Before Her Eyes,6.1,88
40000000,100042,en,67.767785,2014-11-12,169837010,110.0,Released,The Second Parts Are More Fools,Dumb and Dumber To,5.4,1127
55000000,9275,en,11.329727,2002-03-28,0,109.0,Released,Get ready for an unexpected hit.,Death to Smoochy,5.9,132
858000,3170,en,47.651878,1942-08-14,267447150,70.0,Released,A great love story.,Bambi,6.8,1405
0,40963,en,0.0921,2006-01-01,0,0.0,Rumored,,Little Big Top,10.0,1
20000000,9582,en,5.596835,2003-01-17,17432163,101.0,Released,Boy meets girl. Boy meets girl's cousin.,A Guy Thing,5.3,83
70000000,612,en,29.035222,2005-12-22,130358911,164.0,Released,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,Munich,6.9,696
1500000,10707,en,13.788054,2005-10-05,11098131,81.0,Released,Joint custody blows.,The Squid and the Whale,6.9,226
25000000,866,en,34.160448,2004-10-17,116766556,106.0,Released,Where will your imagination take you?,Finding Neverland,7.2,1223
0,127918,en,2.828303,2012-07-09,0,101.0,Released,,The Gatekeepers,6.5,39
6400000,218,en,74.234793,1984-10-26,78371200,108.0,Released,Your future is in his hands.,The Terminator,7.3,4128
85000000,62764,en,48.126297,2012-03-15,183018522,106.0,Released,The Snow White legend comes alive.,Mirror Mirror,5.5,1114
40000000,27582,en,44.094856,2011-01-13,51070807,93.0,Released,Someone has to fix the problems.,The Mechanic,6.3,1045
0,8981,en,3.11319,2004-05-18,0,105.0,Released,,Dear Frankie,7.0,46
139000000,557,en,82.502566,2002-05-01,821708551,121.0,Released,With great power comes great responsibility.,Spider-Man,6.8,5265
0,13156,en,15.011624,2003-09-19,0,111.0,Released,,Secondhand Lions,6.9,260
0,63006,hi,0.075817,2011-04-22,0,130.0,Released,Goa. Paradise on Earth. But every Paradise has a few snakes.,Dum Maaro Dum,5.4,7
40000000,841,en,25.876582,1984-12-14,30925690,137.0,Released,"A world beyond your experience, beyond your imagination.",Dune,6.5,562
5000000,12484,en,2.739307,2001-04-27,0,90.0,Released,The night... has an appetite.,The Forsaken,4.9,47
53000000,9444,en,45.565918,1997-11-20,139804348,94.0,Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,Anastasia,7.4,1432
35000000,14846,en,6.246199,2004-08-06,22034832,111.0,Released,Have you ever been tempted to look inside his...,Little Black Book,5.2,112
12000000,7510,en,4.770195,2006-10-27,6754898,116.0,Released,Ever have one of those lives?,Running with Scissors,5.8,78
8000000,23570,en,2.149469,1996-05-03,0,97.0,Released,Something magical is about to unfold in the most unexpected place.,The Pallbearer,4.6,30
0,37232,en,0.749699,2003-09-09,0,108.0,Released,The bitter and the sweet of temporary things.,Travellers and Magicians,6.8,9
12000000,11027,en,6.803763,1981-03-20,0,122.0,Released,You Will Feel The Heat,The Postman Always Rings Twice,6.4,110
43000000,9913,en,29.105407,2005-07-29,91974818,104.0,Released,Fearing Is Believing,The Skeleton Key,6.4,573
110000000,254128,en,100.412364,2015-05-27,470490832,114.0,Released,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,6.0,2968
25000000,50014,en,42.191509,2011-08-09,124272124,146.0,Released,Change begins with a whisper.,The Help,7.8,1910
20000,36095,ja,0.212443,1997-11-06,99000,111.0,Released,Madness. Terror. Murder.,Cure,7.4,63
7,13006,en,4.857028,1992-05-01,5,90.0,Released,He's seen the future. Now he has to kill it.,Split Second,5.7,63
14000000,34563,en,6.733485,2010-03-12,21409028,103.0,Released,To have and to hold... 'Til dads do us part.,Our Family Wedding,5.7,39
15000000,12405,en,59.258969,2008-05-12,377910544,120.0,Released,"What does it take to find a lost love? A. Money, B. Luck, C. Smarts, D. Destiny",Slumdog Millionaire,7.6,2827
0,53953,de,0.716764,2006-08-08,0,0.0,Released,,The Tooth Fairy,4.3,13
18000000,25643,en,13.472365,2009-09-18,36133014,109.0,Released,Sometimes when you least expect it...,Love Happens,5.6,180
78000000,9533,en,10.083905,2002-09-29,209196298,124.0,Released,Before the Silence.,Red Dragon,6.7,1115
0,110683,en,0.289433,1983-04-21,0,98.0,Released,"She seduced, robbed and murdered...That was on her good days.",The Wicked Lady,4.3,4
50000000,10586,en,12.46525,1996-10-11,75000000,109.0,Released,Prey For The Hunters,The Ghost and the Darkness,6.4,236
30000000,8836,en,25.454549,2008-07-24,68369434,104.0,Released,"To find the truth, you must believe.",The X Files: I Want to Believe,5.5,523
74500000,1997,en,8.884318,2004-04-07,62172050,109.0,Released,"Two infant tiger cubs, separated from their parents and each other.",Two Brothers,6.9,180
15000000,76726,en,64.504747,2012-02-01,145000000,84.0,Released,What are you capable of?,Chronicle,6.6,1935
34200000,9032,en,34.86859,1999-06-25,234801895,93.0,Released,Nature called. Look who answered.,Big Daddy,6.1,875
2000000,15186,en,1.95686,2002-08-02,2506446,96.0,Released,Everybody Needs A Release,Full Frontal,4.8,26
0,84197,en,0.106949,2013-04-19,0,100.0,Released,This is my life.,Filly Brown,5.9,10
20000000,17134,en,15.66135,2009-03-19,17280326,108.0,Released,Survive all 12,12 Rounds,5.7,220
35000000,11979,en,11.644243,2002-02-10,45479110,101.0,Released,This time there are no interviews.,Queen of the Damned,5.4,239
74000000,228165,en,36.952268,2015-02-05,311594032,93.0,Released,He's leaving his world behind.,The SpongeBob Movie: Sponge Out of Water,5.8,719
25000000,109091,en,35.022029,2013-10-25,71009334,117.0,Released,Sin Is A Choice.,The Counselor,5.0,712
40000000,9361,en,37.776566,1992-09-25,75505856,112.0,Released,The first American hero.,The Last of the Mohicans,7.1,732
75000000,36657,en,4.66891,2000-07-13,296339527,104.0,Released,Evolution Begins,X-Men,6.8,4097
25000000,227707,en,8.842722,2013-12-05,6399,99.0,Released,The new name for adventure.,The Adventurer: The Curse of the Midas Box,5.1,73
0,8293,en,5.897391,1992-03-13,25966555,140.0,Released,,Howards End,6.9,95
150000000,272,en,115.040024,2005-06-10,374218673,140.0,Released,Evil fears the knight.,Batman Begins,7.5,7359
40000000,1833,en,10.433667,2005-11-23,31670620,135.0,Released,No day but today.,Rent,6.7,155
80000000,12193,en,19.500893,2008-11-26,163733697,88.0,Released,"His father, her mother, his mother and her father all in one day.",Four Christmases,5.3,331
15000000,9686,en,6.684096,1989-03-10,0,124.0,Released,"One city, three stories tall.",New York Stories,6.2,64
7500000,36046,en,0.571663,2004-11-24,3347647,110.0,Released,One Man....A Remarkable Vision; One Family....A Desperate Struggle,The Work and the Glory,6.1,7
11000000,1590,en,5.062687,2006-09-10,0,104.0,Released,,Copying Beethoven,6.2,42
0,278316,en,4.480579,2014-06-22,0,123.0,Released,,Da Sweet Blood of Jesus,4.1,13
18000000,772,en,81.487685,1992-11-19,358991681,120.0,Released,He's up past his bedtime in the city that never sleeps.,Home Alone 2: Lost in New York,6.3,2395
33000000,817,en,18.316151,1999-06-08,310940086,95.0,Released,"I'm back, baby!",Austin Powers: The Spy Who Shagged Me,6.2,1011
33000000,11888,en,13.655735,2002-01-18,0,99.0,Released,Get ready for mush hour!,Snow Dogs,5.3,185
7000000,79316,en,14.741589,2014-01-08,36433975,89.0,Released,The Devil Always Gets His Due,Devil's Due,4.4,216
10000000,1970,en,35.695442,2004-10-22,183474602,92.0,Released,It never forgives. It never forgets.,The Grudge,5.8,865
40000000,745,en,73.085576,1999-08-06,672806292,107.0,Released,Not every gift is a blessing.,The Sixth Sense,7.7,3147
25000000,242166,en,3.344158,2014-03-12,0,100.0,Released,Go Rogue,Red Sky,4.1,26
3000000,22013,en,6.734965,1960-06-19,10400000,146.0,Released,If there was a dollar to be made - Gantry would make it... If there was a soul to be saved - Gantry would save it...,Elmer Gantry,7.3,41
13000000,84892,en,43.444135,2012-09-20,33400000,102.0,Released,We are infinite.,The Perks of Being a Wallflower,7.7,2968
8000000,400,en,6.932221,1995-12-01,529766,116.0,Released,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,6.7,85
46000000,199,en,25.6713,1996-11-21,150000000,111.0,Released,Resistance is futile.,Star Trek: First Contact,7.0,661
130000000,13183,en,64.798873,2009-03-05,185258983,163.0,Released,Justice is coming to all of us.  No matter what we do.,Watchmen,7.0,2811
40000000,18240,en,36.238968,2009-06-01,317375031,108.0,Released,Here comes the bribe...,The Proposal,6.7,1804
85000000,10159,en,24.107835,2003-09-26,80916492,104.0,Released,cut to the chase,The Rundown,6.4,514
65000000,1538,en,44.815022,2004-08-04,217764291,120.0,Released,It started like any other night.,Collateral,7.0,1451
0,12602,de,1.296784,1967-10-05,0,85.0,Released,UNBELIEVABLE! Until You See It With Your Own Eyes!,The Torture Chamber of Dr. Sadism,6.3,12
0,96238,en,0.039077,2002-07-12,0,98.0,Released,A mature love story for immature people.,Never Again,4.0,3
6500000,87499,en,16.574756,2013-05-31,2401510,116.0,Released,"Spy on us, we'll spy on you.",The East,6.5,305
3900000,874,en,9.541688,1966-12-12,28350000,120.0,Released,...a motion picture for all times!,A Man for All Seasons,7.5,89
70000000,10592,en,14.244518,2002-02-15,32287044,125.0,Released,"Beyond Courage, Beyond Honor.",Hart's War,5.9,241
35000000,321741,en,35.120736,2015-11-12,50363790,123.0,Released,Even Legends Need a Hero,Concussion,7.0,823
26000000,8011,en,7.964451,1994-11-29,36800000,99.0,Released,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one.",Highlander: The Final Dimension,4.5,110
11000000,167073,en,39.337949,2015-10-20,62076141,111.0,Released,"Two countries, two loves, one heart",Brooklyn,7.2,1213
75000000,70160,en,68.550698,2012-03-12,691210692,142.0,Released,May The Odds Be Ever In Your Favor.,The Hunger Games,6.9,9455
3000000,3089,en,5.344815,1948-08-26,9012000,133.0,Released,Big as the men who faced this challenge! Bold as the women who loved them!,Red River,7.3,82
6000000,1523,en,26.286954,2006-09-01,48027970,121.0,Released,Charming. Magnetic. Murderous.,The Last King of Scotland,7.4,558
0,18238,en,6.632891,2009-03-16,0,86.0,Released,"After Twilight, The Real Party Starts.",Lesbian Vampire Killers,5.3,124
50000000,12220,en,6.22577,1999-10-13,58900031,95.0,Released,,The Story of Us,5.9,75
40000000,820,en,26.82041,1991-12-20,205405498,189.0,Released,The story that won’t go away.,JFK,7.5,502
35000000,35019,en,23.835055,2010-03-26,93246388,109.0,Released,You'll Believe That Pigs Can Fly!,Nanny McPhee and the Big Bang,6.0,436
0,15511,en,1.800119,2008-01-11,0,85.0,Released,,VeggieTales: The Pirates Who Don't Do Anything,5.9,25
1,357834,en,0.025364,2015-08-07,0,99.0,Released,,The Algerian,0.0,0
20000000,35688,en,2.986286,2010-04-02,60072596,121.0,Released,Marriage is an institution they're committed to.,Why Did I Get Married Too?,6.1,29
0,5516,en,23.666229,2004-03-25,0,104.0,Released,The greatest criminal minds of all time have finally met their match.,The Ladykillers,6.0,415
0,44857,en,2.636193,1999-10-22,0,102.0,Released,Innocence is bliss. See the world through her.,Molly,5.5,14
0,13363,en,31.339015,2007-06-10,0,87.0,Released,From one of the acclaimed writers of Star Trek and The Twilight Zone comes a story that transcends both time and space...,The Man from Earth,7.7,687
42000000,2057,en,14.831402,2001-08-03,35402320,118.0,Released,This is not a love story - it's a story about love.,Original Sin,5.8,198
60000000,11128,en,10.99991,2004-10-01,74541707,115.0,Released,Their greatest challenge lies in rescuing one of their own,Ladder 49,6.2,207
10000000,314385,en,11.267676,2015-11-12,3727746,122.0,Released,,By the Sea,5.4,156
7000000,77930,en,35.897151,2012-06-28,167221571,110.0,Released,Work all day. Work it all night.,Magic Mike,6.1,1040
800000,47889,en,0.59424,1993-10-08,1001437,114.0,Released,A woman's search for herself.,Ruby in Paradise,5.6,10
3730500,116613,en,6.938854,2012-09-11,6294161,112.0,Released,Act like a criminal to catch a criminal.,The Sweeney,5.7,109
0,18570,en,15.017162,2008-09-07,0,94.0,Released,You'll never look at dinner the same way again.,"Food, Inc.",7.4,217
20000000,8968,en,11.62423,2005-02-04,67192859,89.0,Released,You thought it was just a story.,Boogeyman,4.6,191
80000000,2539,en,14.209329,2004-12-17,55041367,130.0,Released,Every family has a hero.,Spanglish,5.8,369
32000000,68722,en,25.682509,2012-09-07,28258060,137.0,Released,Every Man Needs a Guide,The Master,7.0,701
0,19803,en,2.083856,2005-09-02,0,95.0,Released,,Underclassman,5.5,28
35000000,34806,en,18.38292,2010-04-23,77477008,106.0,Released,"Fall in love, get married, have a baby. Not necessarily in that order.",The Back-Up Plan,5.7,458
70000000,1125,en,14.486311,2006-12-25,154937680,134.0,Released,One Dream Will Change Everything,Dreamgirls,6.6,284
3500000,20055,en,1.348114,2008-09-27,0,98.0,Released,What she doesn't know could kill her.,The Betrayed,5.2,10
650000,251471,en,1.631274,2015-07-31,0,93.0,Released,,A LEGO Brickumentary,6.4,55
30000000,367961,ru,2.625594,2015-11-12,0,85.0,Released,You need only wish with all of your heart!,Savva. Heart of the Warrior,6.4,7
0,13776,en,5.87193,1982-04-02,0,110.0,Released,"Suddenly, life was more than French fries, gravy, and girls.",Diner,6.9,83
18000000,5876,en,37.104353,2007-11-21,57096190,126.0,Released,"Belief divides them, mystery surrounds them, but fear changes everything.",The Mist,6.7,1399
150000000,13053,en,41.845878,2008-11-21,309979994,98.0,Released,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
0,13074,en,4.898437,2007-06-14,0,112.0,Released,,Resurrecting the Champ,5.9,60
35000000,239573,en,16.832312,2015-03-05,14431253,91.0,Released,Best business trip ever.,Unfinished Business,5.0,320
0,402515,pt,0.018716,2014-10-21,0,89.0,Released,,American Beast,0.0,0
0,192132,en,16.570708,2014-05-09,0,100.0,Released,,Palo Alto,6.4,348
70000000,978,en,16.92991,1997-09-12,131457682,136.0,Released,At the end of the world his real journey began.,Seven Years in Tibet,7.0,630
12500000,319,en,35.268557,1993-09-09,12281551,120.0,Released,"Stealing, Cheating, Killing. Who said romance was dead?",True Romance,7.5,749
52000000,568,en,68.140214,1995-06-30,355237933,140.0,Released,"Houston, we have a problem.",Apollo 13,7.3,1599
10000000,283445,en,26.090495,2015-08-19,52882018,97.0,Released,"Be careful, children at play.",Sinister 2,5.4,581
5000000,24913,en,8.190888,1986-03-27,0,89.0,Released,Childish pranks turn into a bloody battle for survival!,April Fool's Day,5.8,73
19000000,13523,en,17.952817,2008-10-16,18755936,109.0,Released,He's leaving virgin territory,Sex Drive,6.0,342
2000000,1378,en,14.846001,2006-05-20,5179037,101.0,Released,Open Your Mind. And Everything Else.,Shortbus,6.3,140
16000000,1988,en,9.717392,2007-01-01,18928871,100.0,Released,One woman dared to keep hope alive,A Mighty Heart,6.7,95
20000000,376659,en,42.512296,2016-07-28,183936074,100.0,Released,Party like a mother.,Bad Moms,6.3,1252
72000000,25,en,32.227223,2005-11-04,96889998,125.0,Released,Welcome to the suck.,Jarhead,6.6,765
75000000,10555,en,47.094369,2004-09-20,367275019,90.0,Released,The story of what happens when one little fish tells a great white lie...,Shark Tale,5.8,1557
42000000,37233,en,23.736535,1993-06-30,270248367,154.0,Released,Power can be murder to resist.,The Firm,6.6,501
10000000,14195,en,4.176066,2000-05-17,0,87.0,Released,Demented Forever!,Cecil B. Demented,6.2,51
14000000,4232,en,45.99611,1996-12-20,173046663,111.0,Released,Someone has taken their love of scary movies one step too far.,Scream,7.0,1476
200000,10218,en,13.971674,1996-10-18,4505922,94.0,Released,Cocktails first. Questions later.,Swingers,6.8,253
1,287524,en,1.859965,2014-10-31,0,95.0,Released,,Fear Clinic,4.0,42
85000000,7484,en,26.61951,2006-09-29,197309027,83.0,Released,One Fur All & All Fur One,Open Season,6.1,656
